time,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
132600,0.08394809262590996,0.004733685135178689,0.11150936227637231,0.1459178549550728,0.32901518876132485,0.09372029913332369,0.24399141947125003,0.06259115059955889,0.15071782706676373,0.09058067893190014,0.14242229793956085,6.921928860425908,0.4134511455107912,0.16453473826462783,0.2955792355426823,0.018259109829855902,0.029257084860859095,0.01890404614376706,0.36988623980883517,0.467190848870203,0.16970893209824567,0.24078134095106662,0.2930715743089394,0.10079532202605179,0.4310134557199419,0.02281232059055327,0.04750742841952871,0.03246232297153284,0.06236005844917969,0.05228104660586297
132900,0.1334583914388574,0.002328564760389895,0.11471818401975042,0.11850112794203937,0.27540441737360766,0.09971969052569563,0.2648975088011838,0.05902121365351576,0.1408023371861944,0.07980819633143454,0.1669674893894637,6.065872736825547,0.3562400907451533,0.16777013465391377,0.22055353520700294,0.01390320757519703,0.02436688711357249,0.020093537469428213,0.37566899251380903,0.4379251944043432,0.2025334470045479,0.20732576822759086,0.27341117332014875,0.03815859888779016,0.40318541744324676,0.021658234184833702,0.04615629203524918,0.030016947706407393,0.058385783149205395,0.04973069727213186
133200,0.18514446581792043,0.003230906052280602,0.1528961977578902,0.1521925976981251,0.37410557587521254,0.1372907230770366,0.3638990564371838,0.08145647436109726,0.19396656167625537,0.10761154597373945,0.22836657462870846,8.2795850775317,0.48577233719449,0.2305960551429891,0.31880525553354744,0.019194865673952677,0.03287862205776548,0.027405226465276655,0.5093414511648007,0.6129984192999345,0.2775691846603294,0.2826786608872638,0.37222803817824257,0.06933697800717908,0.5510463823929967,0.029938983085138204,0.06319737886327914,0.041430224610934374,0.08184635322377432,0.06842706392809106
133500,0.2953953931236768,0.0025668617880185707,0.18025191317209988,0.14426193185504843,0.3656919498540532,0.1486144171603101,0.4146524808572565,0.08788963768798652,0.209505665405608,0.1117009795838868,0.22795823659063075,8.7571231885177,0.4915196790159939,0.277045870238517,0.3174879663896064,0.019227107620629624,0.03361067161029041,0.030469063195106116,0.5719201052603395,0.6021463705979571,0.31577665425395196,0.283567820812479,0.36665095948217186,0.03185868342695386,0.5801236096400899,0.03328084437091405,0.07206200117381911,0.045674645854887785,0.08898263079258584,0.0733535401983687
133800,0.18684567686985076,0.0041147238837950795,0.15040726091156387,0.15622981098815103,0.3741338380315895,0.129062933678604,0.34814445990750187,0.07963174284196128,0.19045226357862788,0.10644934334000311,0.1896240077609761,8.32589145484625,0.48151916912874526,0.22916359081556692,0.3337252449280541,0.020209895373298536,0.033288134049449525,0.02568432511765195,0.49149722120230876,0.5697727423145551,0.2476049055428362,0.2795035867608462,0.35372931934931984,0.07748890463487612,0.5339861635333065,0.029624946101598937,0.06283135440362742,0.04142907667805673,0.08014889221936983,0.06643995840682493
134100,0.11237078921041643,0.00405855559694146,0.12214863208915716,0.11817262355415181,0.30537600378202256,0.1006261541640896,0.27059528554095635,0.0640481274039928,0.15280888592419473,0.08904651244107953,0.1421006886121461,6.708969766233608,0.40073245027736704,0.17260955052437765,0.28833797424325525,0.017437435955351077,0.028231672429370747,0.020053736610606165,0.39211625490802504,0.46974718654699643,0.1856411065118948,0.2299159607569905,0.29198350955805097,0.09771943892221202,0.42481107869534185,0.023609933995444976,0.048399525150806255,0.03331063113547117,0.06594476322478471,0.05325569564039512
134400,0.1101615069132933,0.004912384346887677,0.13004568224351942,0.14217062389727886,0.3466766739388163,0.10805607230039982,0.28787972292110453,0.07012657786795984,0.16823501019127463,0.0992023019430448,0.14960288951745326,7.475010231058416,0.4480030046675765,0.18632637801597696,0.32350455672397516,0.019850923803979015,0.03179741103661371,0.021522167821565574,0.42285730278197775,0.5114515705304612,0.19436122754860463,0.25801702324733355,0.3204487547740129,0.11913630952069809,0.468827297856663,0.02589206017457002,0.053248374137766064,0.03681589020087728,0.07177199137704093,0.0581861478557002
134700,0.033684036056406796,0.004383576862231564,0.08979235067575075,0.09630151915626328,0.2555085904446912,0.07506258643753227,0.19618559544272074,0.05100109823218446,0.12227804535761067,0.07484024026882707,0.09809134555914767,5.43565949444622,0.33684003667022466,0.12028383117727515,0.25539648276334503,0.01576322352838133,0.024446624436180286,0.014894141309440556,0.2977250618072915,0.36853489796008887,0.12616191520499598,0.19197532695694974,0.2389131158808553,0.13521517816726458,0.33085135311044667,0.01881743437034089,0.03691172124553077,0.027398089804563597,0.053985914019456516,0.04178181950468485
135000,0.011635914606102915,0.007004708731173537,0.0952919950027109,0.14627238685798005,0.33109737750149293,0.07623745361939882,0.19710574313331364,0.05682102966805047,0.13883987660558006,0.08899023445316345,0.0603888738528795,6.684259613146821,0.4127806616738994,0.13290928277949376,0.3352369077302413,0.020802836132858715,0.03056128471492059,0.014339335566681655,0.31141123681521066,0.4160303474975393,0.09143453411680724,0.23544834299831763,0.2689992119872997,0.16786554523006458,0.3861891506975539,0.02086779413626516,0.04173622929039311,0.030949563199989427,0.05805650628551007,0.04663611245940302
135300,0.22794171457997692,0.0031083832739398076,0.1590130330995052,0.12512938661607365,0.33649638419823447,0.13654227615896275,0.37693014884359144,0.07952114583862624,0.19006397121763996,0.10232938955824267,0.17963587002117265,7.920004224138726,0.4557948291072549,0.23801145902562837,0.3089010470029905,0.01865272635055959,0.031333516787000804,0.026671924328667274,0.5090633593846476,0.5540622177833185,0.2620768367971422,0.25857331159557617,0.34215752221918194,0.062362509648167475,0.5183390582780589,0.030117835318456798,0.06387777284088259,0.04188262610084337,0.0813892953890587,0.06618722832020296
135600,0.14133541989369292,0.0037504888840800277,0.12597409507397828,0.13909127145529254,0.320481800339266,0.1049928384844705,0.28187639980725976,0.06553067709516824,0.15719042522163562,0.09055625428356251,0.15349103184579604,7.016145197710365,0.4090638479014288,0.18680374483211892,0.2789830351793299,0.01720705287077351,0.0285188583473186,0.020981740556081263,0.40584174736578404,0.4786653367886231,0.19793844240075487,0.23727696637439522,0.2981965468823091,0.06105785744406944,0.4472448070521722,0.02416153212396921,0.05137544149128104,0.03383629400630639,0.06506575728430875,0.054893685818520055
