time,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
532500,0.7357640846125655,1.3755006433973662,1.293150928166348,0.027785464722171582,0.0008482381349494972,0.024693508130020803,0.05069434727835187,0.08361163796387672,0.00546118437130616,0.005196313885519999,0.009348025138571359,0.031106303758605236,0.01600062978052108,0.06811893947553926,1.0693298440608103,0.12063502820047489,0.011425872164167572,0.0068126045764813625,0.004219144632024552,0.005592645249940631,0.006713873273803017,0.09542653833522508,0.1130928176911965,0.0750037695550887,0.07193566328113832,0.061965736280889416,0.060426319760971126,0.11993761957020865,0.0030085897461233913,0.00691774390458022,0.005019058400272058,0.009530998071205943,0.008212143826405338
532800,0.7212225997355652,1.3223481938764863,1.341750295124875,0.02818305375374308,0.0015740160656747548,0.028956170356465805,0.05920152160447145,0.11447508019156061,0.008639539610612701,0.011631918050333923,0.012387704953077616,0.039654511133250026,0.018252093694520966,0.067202526076386,1.5347001400257412,0.15067002229054083,0.017728973339735887,0.026315143422060316,0.006048167821724348,0.006594223533184618,0.007384630969674788,0.11207653966110342,0.14953857221617284,0.0741395195826442,0.09054790137572155,0.08258310107178346,0.06647007628671986,0.14898741998767662,0.003971347086505261,0.008994663252309465,0.0065752397947420604,0.012855258437397765,0.01083365224653221
533100,0.7625699560719816,1.4498686962993261,1.2710107638537025,0.04503682204479276,0.0011722040210528917,0.017318788026912557,0.04859767801542603,0.07191193406750074,0.00038823331083648327,0.006140273435093491,0.006616960309877129,0.023550006097757148,0.015034343889190893,0.059295696758603356,0.7996447329088952,0.10799635642814565,0.0009236617773140665,0.0024975778020461803,0.004056575864431977,0.005404156303427499,0.00504863258432664,0.06923228920722124,0.08520423403409438,0.05738157466368676,0.06391976633211272,0.04696752012475258,0.07251189099310551,0.09406833693201122,0.0020501571319613277,0.004240000513753728,0.00371970158803947,0.006856396441378365,0.005718056239942371
533400,0.6364785935234458,1.2046387848118698,1.0765464589168587,0.03220439627776983,0.0012075517775471667,0.019292935808458367,0.04655486898718664,0.07562603893894249,0.0025030109891019947,0.00022986829699078726,0.007562331718801829,0.025656356614099707,0.014232685757541219,0.05247386396439424,0.9278545419354955,0.10734548202908911,0.006684261692129212,0.009590914969550113,0.004251095221107448,0.005151566348160941,0.0050917792079374635,0.07406216362295481,0.08971283919635198,0.05462635865251997,0.06397926896708839,0.04957660772896588,0.06270444023290622,0.0985567123337745,0.002429507724734492,0.005336778042085655,0.00422219606256391,0.007922735856922714,0.006516062462594618
533700,0.8234941369154676,1.5751374958756301,1.3456212988708174,0.04448075847459165,0.0011142507325629936,0.01853422298727736,0.05599593880004505,0.07500309977211828,0.00048135034153773404,0.008210650022007826,0.006569207232232088,0.023926404333479923,0.01588407755448884,0.06496323414835103,0.8055975611914121,0.11144836509060241,0.001514119848422979,0.0018867693419224452,0.004000253520629826,0.005677221792161902,0.0053563909141942645,0.07225983913994583,0.0840117374113234,0.0630189377263477,0.06680948798635455,0.045170870100875504,0.07301412781791328,0.09950423074590731,0.0020297779727584953,0.00446989808305176,0.003664696330588413,0.006498458953608122,0.005718505269626917
534000,0.8417509556180072,1.5837687732520536,1.450504002212675,0.05003578016370369,0.0013352736046741143,0.01739200342793623,0.05304636885953329,0.08112704482865496,0.0010166135287192901,0.005894473800701405,0.007505799315403294,0.026519046716167338,0.016281614201005823,0.06443996763806581,0.9005275732766265,0.11949390695681217,0.0011292348601514846,0.0055377056631087385,0.00457771048087352,0.005876070893442886,0.00548757833467306,0.0745521216565308,0.09808793392501514,0.06167019247503447,0.07088615229910289,0.05322543788242484,0.08150233362506754,0.10460621979927964,0.0023386557735207703,0.004807503420529713,0.004235191999299559,0.007859269372133326,0.006470247738747048
534300,0.8182308101528939,1.536736927600323,1.4179099706518556,0.04975715892211241,0.0014169173077362984,0.018625749845256223,0.05420029985290853,0.08716688647140813,0.0018303624713169597,0.004168524497039527,0.008030147292856782,0.027718031675505017,0.016507231794157917,0.0648434367898858,0.9912846837048122,0.12427317008303618,0.0023525546847267265,0.00908045315980388,0.004803508513361976,0.005973265737047484,0.005599659857992378,0.07781276151850136,0.10712669036120559,0.06141778764309436,0.07410040603038937,0.05855535363701847,0.07854140084896244,0.11014267275828615,0.0024551740897180707,0.005046651216595421,0.004376406531783061,0.008322051684274356,0.006990834965378667
534600,0.6127932938489487,1.1470619229160164,1.0728761926708117,0.03287217963188738,0.0012310539394917441,0.01743598619228237,0.04430012988424892,0.07624669880642188,0.003121520706294234,0.0007334941504950621,0.007625858210971614,0.02561664353945048,0.013681200815270245,0.05088810789673204,0.938889469446714,0.10641938135088225,0.006440382125752819,0.012660658016400816,0.004272969322670406,0.004971889693841547,0.004905777406392531,0.0709518798656461,0.09487076959391771,0.051784563236509484,0.06333812695866214,0.05149761783208362,0.06173232927840644,0.09800938294279149,0.002424177865584909,0.005241065882323426,0.004195766498000353,0.008003082308853493,0.006606712442405183
534900,0.7364767157269476,1.4051985567456242,1.2134149408370476,0.047692614086450646,0.0013713931086485331,0.015131541832715811,0.04921473447456037,0.0739148179982152,0.00032986403825674415,0.007869812540725718,0.006547669872709605,0.023376511236655517,0.014947748922132575,0.057158941579558586,0.8125583566443808,0.10886898942425915,7.342088565565064e-06,0.005791467894368907,0.004335747698725356,0.005451645916608072,0.004719056461603088,0.06424597970097778,0.08378548839739608,0.053274564832086924,0.06478509686466793,0.04540228516066236,0.07775397124418504,0.0925256370084071,0.002035833559780542,0.004096772212136557,0.0037513996173288433,0.006947091326480859,0.005589209451478894
535200,0.6110543155824466,1.1265276415418626,1.1191863847787502,0.017649415221868026,0.0013401603563707454,0.02848391587465926,0.05217662186981187,0.1014827909249405,0.008722652625877458,0.013290296739207008,0.011635030792419343,0.037259313612587164,0.01654224605479726,0.05895066903720192,1.4148511057218442,0.13591839836548303,0.019313407637554292,0.023630413649819104,0.0054494017681605555,0.005949602446854385,0.006979298202296036,0.10726431878914866,0.13384244298775627,0.06992893233991282,0.08094127262206996,0.07375474023895379,0.057130794920539074,0.13714652188268417,0.003828206931096645,0.008898850863111818,0.006288278120329949,0.012098160741430775,0.010152338720310183
