time,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
6000,2.4312729429709634e-06,7.004745086192088e-07,1.5250112561204787e-05,5.748161058249934e-07,9.127234079642221e-09,1.339321755722267e-07,1.9881000667965054e-07,2.597777637447507e-08,1.0298744967940365e-07,3.0205909951064314e-07,3.774038503934207e-08,3.982217577913616e-08,6.158632714914347e-08,1.7696255127930272e-07,1.7452098077797018e-06,3.286172400862597e-07,2.057788606180111e-07,1.531847502178607e-07,1.017039608086634e-08,2.415405475630905e-08,7.082967101723625e-09,2.822107276756469e-07,1.0339650913238074e-07,2.334518711677447e-08,1.0700013319819845e-07,1.2664809645457353e-07,5.942042164974737e-07,1.4497345546260476e-08,1.4190611352660198e-08,3.490352895596516e-08,1.6270661262751673e-08,5.294109683973147e-08,3.1560723812162905e-08
6300,3.185559226182022e-06,8.410361509447739e-06,1.4105461261237906e-06,6.740954674455679e-07,6.115492112712673e-09,1.7693172793542544e-07,1.1431852442456147e-07,2.927798021801209e-07,1.2668986926200887e-07,3.6641842626750076e-07,6.177554467967639e-08,8.8987022195397e-08,5.859393326090867e-08,1.67315754140418e-07,6.66264381976589e-06,2.1171726416469028e-07,2.847586699772364e-07,2.96879143490969e-07,1.1757066431528074e-09,2.217395689285695e-08,1.1251408693624398e-08,4.047244814842088e-07,1.0754447998806427e-08,1.4055004271540383e-08,2.7073788544385025e-08,2.7289775061944965e-07,7.558060559631485e-07,1.2822309258808673e-07,2.1419701567992888e-08,5.2517663107209955e-08,2.731006532030733e-08,7.89719365457131e-08,5.0076998547865514e-08
6600,5.227614199299069e-06,1.0852571598718441e-05,6.1053994713233806e-06,4.180439177048356e-07,2.928963738213497e-09,1.4102385392789074e-07,5.475044417835306e-09,3.9746873881085776e-07,8.660639139179693e-08,2.6231624872252723e-07,5.512475098612413e-08,6.464804158667903e-08,4.36227409750245e-08,3.6139304881999124e-08,6.115239635562375e-06,1.511549996280337e-07,1.8694203163249767e-07,2.6306184963686974e-07,2.6177602308052883e-09,1.6141115111167892e-08,8.12637779290526e-09,3.134906521040648e-07,1.0102775149789522e-07,6.862634904791776e-10,1.1078515171902836e-07,2.756737984555002e-07,5.407122003475706e-07,7.032566173847954e-08,1.7345001879220945e-08,3.4731009179722605e-08,2.3057360465372767e-08,7.841098437211258e-08,4.161253741585824e-08
6900,4.923935254197431e-06,8.883888391153505e-06,9.571677530573197e-06,3.741606491303173e-08,6.735731972185022e-10,6.410899544562199e-08,1.642137590351922e-07,4.108218405463049e-07,7.800863954798842e-09,2.981074942454143e-08,2.404467380756614e-08,2.265401377599119e-08,2.2532006482833822e-08,1.604139754363132e-07,2.13108521762706e-06,1.5592001290087865e-07,1.9568005882319994e-08,9.613961537979776e-08,2.031200097007968e-09,7.806484347838705e-09,2.3316530928241264e-09,6.215029202394362e-08,4.1677620288282924e-07,7.65310659289753e-09,1.604922701403666e-07,1.4700802353218023e-07,1.5010587617325655e-07,1.2356314726957862e-07,4.205595871553669e-09,7.703697235683649e-09,5.855980589331011e-09,5.310664619173622e-08,1.1810733724360034e-08
7200,4.751023926274911e-06,7.450915113338397e-06,1.243619069413171e-05,3.4416097349776464e-07,2.5082940169340873e-09,4.4469956606008054e-09,2.704336807823893e-07,3.5134021914018376e-07,9.05070507428718e-08,1.6329651231217213e-07,7.86688758580567e-09,1.1116974008018587e-07,1.2965394091679627e-08,2.802233254328712e-07,1.66827688730109e-06,2.2879260086483555e-07,1.75982265204766e-07,5.639137157231744e-08,2.0333956740614667e-09,3.905576306806324e-09,1.3679390065135522e-08,1.755480880660798e-07,7.277438456299024e-07,3.987226193657989e-08,1.5158271793325184e-07,1.5988476320671907e-08,9.514724297332577e-08,3.347555335153629e-07,8.500528281274455e-09,4.452973456636755e-08,1.2217192590924242e-08,2.3284158601200033e-08,1.7322498990779422e-08
7500,4.603084125420764e-06,6.712231346739372e-06,1.3495659139550753e-05,4.769774051283093e-07,3.551825500380801e-09,1.054136333777933e-08,2.8721139955223407e-07,3.257803768974554e-07,1.1778230657455424e-07,2.3021624429020449e-07,1.7619036896121543e-08,1.3417540145610474e-07,4.770484451910306e-09,3.336970024747643e-07,3.079859148158448e-06,2.185020164802154e-07,2.3552458827680312e-07,1.024519917791622e-07,2.2032580204722763e-09,8.662155437377805e-10,1.6225222054799815e-08,2.3806343563137489e-07,7.618933324238242e-07,3.5015496280266234e-08,1.5737948899641196e-07,5.842149874979441e-08,2.363707451991104e-07,3.873037712764926e-07,1.2492769485561439e-08,5.793762625216914e-08,1.7838530652625195e-08,1.5914999096366955e-08,2.6064640223921742e-08
7800,4.339296683752991e-06,6.168388303251504e-06,1.3176942566417438e-05,5.083497285340854e-07,4.1014089902091655e-09,3.6344474096949853e-09,2.532979976876959e-07,3.154062824251014e-07,1.1331029980965468e-07,2.2583578385138026e-07,1.5180738444087183e-08,1.2003497573687127e-07,2.291201894877304e-09,3.461409150418149e-07,3.1342313846494108e-06,1.6202241681639862e-07,2.3925840508809415e-07,8.915837668155291e-08,2.799964704536251e-10,1.5725944990663265e-09,1.391406101447501e-08,2.0601853378821033e-07,6.394997953407255e-07,1.1269577271377784e-08,1.6860566631748952e-07,3.526395175867947e-08,3.153819321255469e-07,3.494520370850296e-07,1.1596114291023696e-08,5.7700098921031895e-08,1.644192337835193e-08,2.0224220520503877e-08,2.347621830267599e-08
8100,4.028728842087048e-06,5.773264184938398e-06,1.2101717935308898e-05,4.788356946505701e-07,4.279172571841627e-09,1.5335018588302773e-08,1.885916489641204e-07,3.068955507501414e-07,9.222547703302553e-08,1.8283543568031746e-07,6.6033152279487695e-09,8.771220194603302e-08,7.710418969963939e-09,3.321092520991442e-07,2.5019164624495716e-06,9.011770885081205e-08,2.1203884159604058e-07,4.516022755751692e-08,2.4521966679458274e-09,3.3103333407780156e-09,9.27825993812803e-09,1.2591646481041607e-07,4.47604506348398e-07,1.957545237019076e-08,1.778126090812293e-07,1.795521598069172e-08,3.533145473966215e-07,2.7135926927712717e-07,8.163887343926035e-09,5.023109395096981e-08,1.1441329661465716e-08,3.042494256533246e-08,1.5211703896511608e-08
8400,3.6820564908168762e-06,5.445465724562837e-06,1.0578109076675446e-05,4.130961954729173e-07,4.153953625518625e-09,3.984067831197535e-08,1.0262004224159682e-07,2.8995421530453314e-07,6.290744636316958e-08,1.199856001221633e-07,4.5571013629341905e-09,4.75806913868837e-08,1.1447383485574392e-08,2.9963371162011754e-07,1.5834727449259844e-06,1.8070267060465994e-08,1.6841206473827697e-07,1.2841724128520582e-08,5.2774780101572105e-09,4.3738026533901575e-09,3.705757478655869e-09,2.4737282444675657e-08,2.2964490398180715e-07,5.139679615240311e-08,1.7997183476836653e-07,8.103367576950404e-08,3.6537858250085264e-07,1.8006738855547155e-07,3.5551224186747277e-09,3.917551794074825e-08,4.799581176939682e-09,4.295667821452298e-08,4.518149410159822e-09
8700,3.4301228062361133e-06,5.354734462059696e-06,9.049795657745108e-06,3.1777184972270334e-07,3.766807310512377e-09,7.04287828057204e-08,3.0813609441793233e-09,2.5859743857381545e-07,2.961603229323373e-08,4.496020267197309e-08,1.681748784676529e-08,5.016929094381339e-09,1.3190145864427905e-08,2.504071971998201e-07,5.513121195122039e-07,4.29861870543391e-08,1.1371891162070824e-07,7.819848946155616e-08,7.848889538308867e-09,4.669360009756929e-09,2.1079102907606284e-09,8.839766962864815e-08,1.5277471732133563e-08,8.060753486915928e-08,1.7183116085561778e-07,1.4329502562304697e-07,3.5409717469292445e-07,9.255715838207834e-08,1.6575185668443737e-09,2.6259989738264267e-08,2.6191813162768085e-09,5.6762949895983184e-08,7.143519553665101e-09
